District,Crime Rate,Urban share of population (% of population),Unemployment (% of total employment),Poverty Rate (%),Household members per room,"Youth literacy, 15-24 years old (% of population aged 15-24)",Households' mobile phone ownership (% of population),"Accessibility, health (% of population within 15 minutes to clinic/hospital)",Household size,Child labor (% of children aged 10-17)
Musakhel,125,6.09,26.09,37,3.2,28.56,85.57,6.51,5.69,18.33
Nasirabad,1047,14.07,37.79,61,4.43,31.73,83.47,2.06,6.67,43.42
Nushki,108,26.38,24.44,48,3.2,73.9,78.04,54.97,7.2,16.34
Pishin,485,5.23,6.45,43,3.03,68.27,74.04,22.5,8.24,26.63
Quetta,1041,78.7,7.79,22,2.81,79.92,97.38,63.73,7.3,9.45
Sheerani,125,0,8.4,41,2.75,31.42,50.48,2.38,7.61,19.77
Sibi,58,57.12,7.83,30,3.04,66.92,84.17,43.13,6.3,9.15
Sohbatpur,153,21.25,37.58,62,4.77,36.47,97.44,18.73,7.28,42.62
Washuk,126,0,24.66,58,3.72,33.38,25.53,12.66,6.96,46.22
Zhob,216,17.29,9.75,40,2.59,39.47,58.17,24.7,7.1,26.25
Ziarat,128,11.78,19.76,32,2.82,69.99,90.08,29.06,8.03,7.57
Islamabad,7107,63.1,4.23,9,1.5,93.96,96.43,88.7,5.69,2.8
Abbottabad,194,16.9,7.77,18,2.79,91.57,94.66,54.51,5.76,4.28
Bannu,202,4.43,8.86,46,3.9,60.91,88.01,31.6,8.33,14.69
Batagram,38,0,29.42,34,3.11,57.85,94.66,34.41,7.45,7.93
Awaran,79,0,36.23,68,3.78,50.52,58.73,14.01,7.31,44.02
Barkhan,143,11.49,24.4,51,2.5,51.93,25.84,4.49,7.29,18.02
Chagai,188,12.89,14.2,53,3.24,45.46,48.53,12.18,6.97,25.54
Dera Bugti,192,5.36,56.96,64,3.05,26.16,14.7,3.99,7.24,58.53
Gwadar,92,42.68,21.26,35,3.5,67.03,89.43,44.32,7.15,30.66
Harnai,65,9.27,13.14,35,2.62,48.29,36.01,5.13,6.9,16.56
Jaffarabad,32,21.25,37.58,62,4.77,36.47,97.44,18.73,7.28,42.62
Jhal Magsi,127,5.04,16.3,46,3.57,48.7,91.34,14.17,6.54,22.97
Kachhi,182,14.25,19.14,49,3.18,45.12,75.15,29.77,7.05,28.65
Kalat,306,18.67,21.87,50,3.78,63.01,81.72,34.77,7.16,48.26
Kech,546,20.21,24.88,46,3.53,63.63,68.86,56.14,6.98,22.54
Kharan,102,15.3,21.79,50,3.31,62.63,80.12,27.67,7.45,22.73
Khuzdar,472,26.18,26.07,46,3.64,52.13,49.94,28.5,6.97,56.2
Killa Abdullah,547,10.9,14.6,51,3.14,44.85,88.95,14.19,10.58,22.38
Killa Saifullah,252,8.72,25.33,46,2.37,42.99,56.11,28.58,7.7,29.87
Kohlu,177,5.5,25.22,49,2.32,18.73,7.22,2.75,6.24,42.4
Las Bela,265,34.84,9.28,41,3.43,49.37,67.68,17.39,5.78,23.54
Lehri,91,57.12,7.83,30,3.04,66.92,84.17,43.13,6.3,9.15
Loralai,299,18.17,21.16,28,3.08,44.52,91.41,17.68,5.67,17.39
Mastung,208,22.04,31.67,44,3.36,57.63,86.74,64.02,7.67,47.2
Buner,55,0,12.69,46,3.93,54.1,89.08,40.68,8.27,8.06
Charsadda,305,20.94,8.71,35,3.67,63.18,95.33,39.56,7.43,12.46
Chitral,34,11.8,14.74,25,2.56,82.85,62.15,8.96,6.65,10.05
Dera Ismail Khan,225,12.25,9.78,39,3.64,46.5,83.82,33.84,7.55,24.39
Hangu,126,19.58,11.65,33,3.2,55.62,93.86,52.14,8.03,6.3
Haripur,128,13.43,21.78,15,3.03,91.72,91.46,47.41,5.77,5.39
Karak,108,6.53,6.85,40,3.63,72.53,92.72,27.58,8.56,3.17
Kohat,185,26.73,9.53,32,3.34,74.04,93.17,49.72,7.01,5.18
Kohistan,42,0,33.21,37,2.82,39.95,76.27,0.32,6.03,19.41
Lakki Marwat,155,10.25,5.95,49,3.75,65.39,89.76,40.43,7.91,9.84
Lower Dir,62,5.25,19.86,41,3.41,65.9,95.53,25.52,7.96,16.73
Malakand PA,248,9.93,7.32,29,3.18,79.58,93.97,51.52,7.23,8.83
Mansehra,235,6.92,17.03,23,3.09,80.29,92.32,48.97,6,7.86
Mardan,407,21.43,11.38,33,3.55,65.9,96.07,52.95,7.09,12.86
Nowshera,224,24.92,5.2,30,3.81,73.53,95.22,60.54,6.89,10.46
Peshawar,876,54.82,8.64,23,3.39,71.31,94.98,70.46,7.33,13.05
Shangla,27,0,13.81,54,4,55.57,82.74,12.02,7.3,10.34
Swabi,248,19.3,12.27,29,3.49,71.17,94.87,52.42,6.54,10.26
Swat,154,11.95,12.14,40,3.65,67.48,92.14,24,7.57,11.16
Tank,62,9.68,8.28,42,3.45,46.62,83.93,53.16,7.02,14.32
Tor Ghar,15,0,45.48,36,3.7,28.94,94.4,25.59,5.75,28.45
Upper Dir,103,4.33,21.41,50,3.59,54.72,83.03,13.04,7.59,24.93
Attock,4675,24.1,9.62,20,2.95,89.02,94.79,53.65,6.06,7.29
Bahawalnagar,11059,18.15,21.27,31,3.61,68.15,86.69,34.05,6.2,29.38
Bahawalpur,11937,30.11,23.91,38,3.85,59.94,88.24,49.87,6.14,44.91
Bhakkar,3342,16.56,20.4,34,3.47,74.85,89.54,9.91,6.01,13.98
Chakwal,3157,12.7,21.4,13,2.38,94.18,96.01,61.44,5.24,8.55
Chiniot,4640,27.43,19.3,26,3.27,61.54,89.77,95.04,5.64,16.63
Dera Ghazi Khan,6647,12.52,27.33,42,3.49,56.74,90.42,17.3,6.9,32.32
Faisalabad,32884,45.41,13.92,21,3.26,83.09,96.14,99.01,5.92,18.02
Gujranwala,21734,50.49,11.74,21,3.32,87.33,95.21,91.77,6.46,14.59
Gujrat,8106,27.23,14.19,16,3.15,86.48,95.87,79.34,6.16,9.99
Hafizabad,5420,29.11,15.48,23,3.28,81.69,95.28,63.75,6.25,19.94
Jhang,7251,20.89,31.85,29,3.35,67.92,84.9,51.69,5.99,32.81
Jhelum,3699,28.21,17.39,12,2.49,87.97,97.17,64.84,5.66,6.06
Kasur,11380,24.51,15.15,33,4.37,67.63,89.37,65.38,6.22,24
Khanewal,8125,21.3,22.24,33,3.67,74.24,90.48,27.95,6.23,29.81
Khushab,2308,24.89,10.27,24,2.79,75.64,90.16,59.76,5.77,10.43
Lahore,74180,81.02,7.36,15,3.48,87.77,96.03,92.41,5.81,13.98
Layyah,4444,13.68,36.5,32,3.59,77.77,94.02,17.95,6.36,39.45
Lodhran,5661,15.97,20.31,35,3.62,63.27,89.75,38.31,6.05,28.08
Mandi Bahauddin,4878,15.06,13.1,16,3.11,89.42,97.58,61.7,5.76,10.17
Mianwali,4118,23.03,28.09,30,3.61,74.49,91.93,24.55,6.09,14.46
Multan,17186,41.88,11.14,33,4.06,71.52,87.8,51.73,5.98,23.92
Muzaffargarh,9860,15.91,19.35,42,4.19,61.83,84.7,26.98,6.03,31.36
Nankana Sahib,5969,23.13,13.7,25,3.43,78.89,89.22,57.81,5.86,15.79
Narowal,4025,13.08,25.31,25,3.56,86.76,92.94,25.43,6.6,18.09
Okara,11636,22.89,29.79,29,3.65,69.76,89.97,81.19,5.77,31.27
Pakpattan,6157,14.41,26.89,34,3.8,66.55,88.63,70.07,5.79,31.28
Rahim Yar Khan,14474,20.2,26.76,43,4.64,54.79,88.28,31.71,6.9,39.2
Rajanpur,6149,13.92,38.68,49,4.68,47.56,90.87,30.87,7.05,41.76
Rawalpindi,17827,52.91,7.7,15,2.58,93.73,96.63,74.54,6.05,8.17
Sahiwal,8532,16.16,24.28,28,3.43,75.42,90.05,82.07,5.77,34.02
Sargodha,12767,27.54,9.45,24,3.15,82.83,90.58,61.39,5.87,12.13
