District,Ln_Crime Incidents,Ln_Urban share of population,Unemployment (% of total employment),Ln_Poverty Values,Ln_Household members per room,"Youth literacy, 15-24 years old (% of population aged 15-24)",Ln_Households' mobile phone ownership,"Accessibility, health (% of population within 15 minutes to clinic/hospital)",Household size,Child labor (% of children aged 10-17),National poverty rank (N),Ln_access to clean water
0,4.83,1.81,26.09,3.61,1.16,28.56,4.45,6.51,5.69,18.33,57,0.38
1,6.95,2.64,37.79,4.11,1.49,31.73,4.42,2.06,6.67,43.42,113,3.82
2,4.68,3.27,24.44,3.87,1.16,73.9,4.36,54.97,7.2,16.34,93,4.57
3,6.18,1.65,6.45,3.76,1.11,68.27,4.3,22.5,8.24,26.63,73,4.51
4,6.95,4.37,7.79,3.09,1.03,79.92,4.58,63.73,7.3,9.45,15,4.44
5,4.83,,8.4,3.71,1.01,31.42,3.92,2.38,7.61,19.77,65,3.54
6,4.06,4.05,7.83,3.40,1.11,66.92,4.43,43.13,6.3,9.15,34,4.31
7,5.03,3.06,37.58,4.13,1.56,36.47,4.58,18.73,7.28,42.62,115,4.29
8,4.84,,24.66,4.06,1.31,33.38,3.24,12.66,6.96,46.22,112,3.76
9,5.38,2.85,9.75,3.69,0.95,39.47,4.06,24.7,7.1,26.25,61,3.78
10,4.85,2.47,19.76,3.47,1.04,69.99,4.5,29.06,8.03,7.57,38,3.80
11,8.87,4.14,4.23,2.20,0.41,93.96,4.57,88.7,5.69,2.8,1,4.48
12,5.27,2.83,7.77,2.89,1.03,91.57,4.55,54.51,5.76,4.28,10,4.48
13,5.31,1.49,8.86,3.83,1.36,60.91,4.48,31.6,8.33,14.69,84,4.58
14,3.64,,29.42,3.53,1.13,57.85,4.55,34.41,7.45,7.93,48,4.42
15,4.37,,36.23,4.22,1.33,50.52,4.07,14.01,7.31,44.02,117,3.47
16,4.96,2.44,24.4,3.93,0.92,51.93,3.25,4.49,7.29,18.02,107,3.50
17,5.24,2.56,14.2,3.97,1.18,45.46,3.88,12.18,6.97,25.54,110,4.12
18,5.26,1.68,56.96,4.16,1.12,26.16,2.69,3.99,7.24,58.53,116,2.98
19,4.52,3.75,21.26,3.56,1.25,67.03,4.49,44.32,7.15,30.66,52,4.36
20,4.17,2.23,13.14,3.56,0.96,48.29,3.58,5.13,6.9,16.56,50,3.62
21,3.47,3.06,37.58,4.13,1.56,36.47,4.58,18.73,7.28,42.62,114,4.29
22,4.84,1.62,16.3,3.83,1.27,48.7,4.51,14.17,6.54,22.97,83,3.70
23,5.2,2.66,19.14,3.89,1.16,45.12,4.32,29.77,7.05,28.65,98,3.24
24,5.72,2.93,21.87,3.91,1.33,63.01,4.4,34.77,7.16,48.26,101,4.30
25,6.3,3.01,24.88,3.83,1.26,63.63,4.23,56.14,6.98,22.54,80,4.15
26,4.62,2.73,21.79,3.91,1.2,62.63,4.38,27.67,7.45,22.73,100,4.40
27,6.16,3.26,26.07,3.83,1.29,52.13,3.91,28.5,6.97,56.2,85,4.09
28,6.3,2.39,14.6,3.93,1.14,44.85,4.49,14.19,10.58,22.38,106,3.80
29,5.53,2.17,25.33,3.83,0.86,42.99,4.03,28.58,7.7,29.87,79,3.88
30,5.18,1.7,25.22,3.89,0.84,18.73,1.98,2.75,6.24,42.4,95,1.70
31,5.58,3.55,9.28,3.71,1.23,49.37,4.21,17.39,5.78,23.54,64,3.89
32,4.51,4.05,7.83,3.40,1.11,66.92,4.43,43.13,6.3,9.15,35,4.31
33,5.7,2.9,21.16,3.33,1.12,44.52,4.52,17.68,5.67,17.39,28,3.95
34,5.34,3.09,31.67,3.78,1.21,57.63,4.46,64.02,7.67,47.2,76,4.52
35,4.01,,12.69,3.83,1.37,54.1,4.49,40.68,8.27,8.06,82,4.21
36,5.72,3.04,8.71,3.56,1.3,63.18,4.56,39.56,7.43,12.46,53,4.39
37,3.53,2.47,14.74,3.22,0.94,82.85,4.13,8.96,6.65,10.05,25,4.43
38,5.42,2.51,9.78,3.66,1.29,46.5,4.43,33.84,7.55,24.39,59,4.40
39,4.84,2.97,11.65,3.50,1.16,55.62,4.54,52.14,8.03,6.3,46,4.34
40,4.85,2.6,21.78,2.71,1.11,91.72,4.52,47.41,5.77,5.39,4,4.38
41,4.68,1.88,6.85,3.69,1.29,72.53,4.53,27.58,8.56,3.17,60,3.92
42,5.22,3.29,9.53,3.47,1.21,74.04,4.53,49.72,7.01,5.18,40,4.34
43,3.74,,33.21,3.61,1.04,39.95,4.33,0.32,6.03,19.41,55,1.72
44,5.04,2.33,5.95,3.89,1.32,65.39,4.5,40.43,7.91,9.84,94,4.35
45,4.13,1.66,19.86,3.71,1.23,65.9,4.56,25.52,7.96,16.73,63,4.12
46,5.51,2.3,7.32,3.37,1.16,79.58,4.54,51.52,7.23,8.83,30,4.34
47,5.46,1.93,17.03,3.14,1.13,80.29,4.53,48.97,6,7.86,18,4.40
48,6.01,3.06,11.38,3.50,1.27,65.9,4.57,52.95,7.09,12.86,43,4.46
49,5.41,3.22,5.2,3.40,1.34,73.53,4.56,60.54,6.89,10.46,33,4.47
50,6.78,4,8.64,3.14,1.22,71.31,4.55,70.46,7.33,13.05,16,4.54
51,3.3,,13.81,3.99,1.39,55.57,4.42,12.02,7.3,10.34,111,4.03
52,5.51,2.96,12.27,3.37,1.25,71.17,4.55,52.42,6.54,10.26,31,4.41
53,5.04,2.48,12.14,3.69,1.29,67.48,4.52,24,7.57,11.16,62,4.18
54,4.13,2.27,8.28,3.74,1.24,46.62,4.43,53.16,7.02,14.32,67,4.48
55,2.71,,45.48,3.58,1.31,28.94,4.55,25.59,5.75,28.45,54,4.20
56,4.63,1.47,21.41,3.91,1.28,54.72,4.42,13.04,7.59,24.93,102,2.84
57,8.45,3.18,9.62,3.00,1.08,89.02,4.55,53.65,6.06,7.29,11,4.48
58,9.31,2.9,21.27,3.43,1.28,68.15,4.46,34.05,6.2,29.38,37,4.53
59,9.39,3.4,23.91,3.64,1.35,59.94,4.48,49.87,6.14,44.91,58,4.60
60,8.11,2.81,20.4,3.53,1.24,74.85,4.49,9.91,6.01,13.98,49,4.59
61,8.06,2.54,21.4,2.56,0.87,94.18,4.56,61.44,5.24,8.55,3,4.54
62,8.44,3.31,19.3,3.26,1.18,61.54,4.5,95.04,5.64,16.63,26,4.60
63,8.8,2.53,27.33,3.74,1.25,56.74,4.5,17.3,6.9,32.32,66,4.48
64,10.4,3.82,13.92,3.04,1.18,83.09,4.57,99.01,5.92,18.02,12,4.36
65,9.99,3.92,11.74,3.04,1.2,87.33,4.56,91.77,6.46,14.59,13,4.60
66,9,3.3,14.19,2.77,1.15,86.48,4.56,79.34,6.16,9.99,8,4.61
67,8.6,3.37,15.48,3.14,1.19,81.69,4.56,63.75,6.25,19.94,17,4.60
68,8.89,3.04,31.85,3.37,1.21,67.92,4.44,51.69,5.99,32.81,32,4.60
69,8.22,3.34,17.39,2.48,0.91,87.97,4.58,64.84,5.66,6.06,2,4.47
70,9.34,3.2,15.15,3.50,1.47,67.63,4.49,65.38,6.22,24,44,4.58
71,9,3.06,22.24,3.50,1.3,74.24,4.51,27.95,6.23,29.81,45,4.59
72,7.74,3.21,10.27,3.18,1.03,75.64,4.5,59.76,5.77,10.43,20,4.57
73,11.21,4.39,7.36,2.71,1.25,87.77,4.56,92.41,5.81,13.98,6,4.59
74,8.4,2.62,36.5,3.47,1.28,77.77,4.54,17.95,6.36,39.45,39,4.61
75,8.64,2.77,20.31,3.56,1.29,63.27,4.5,38.31,6.05,28.08,51,4.60
76,8.49,2.71,13.1,2.77,1.13,89.42,4.58,61.7,5.76,10.17,7,4.59
77,8.32,3.14,28.09,3.40,1.28,74.49,4.52,24.55,6.09,14.46,36,4.53
78,9.75,3.73,11.14,3.50,1.4,71.52,4.48,51.73,5.98,23.92,42,4.59
79,9.2,2.77,19.35,3.74,1.43,61.83,4.44,26.98,6.03,31.36,68,4.60
80,8.69,3.14,13.7,3.22,1.23,78.89,4.49,57.81,5.86,15.79,23,4.60
81,8.3,2.57,25.31,3.22,1.27,86.76,4.53,25.43,6.6,18.09,24,4.60
82,9.36,3.13,29.79,3.37,1.29,69.76,4.5,81.19,5.77,31.27,29,4.60
83,8.73,2.67,26.89,3.53,1.34,66.55,4.48,70.07,5.79,31.28,47,4.59
84,9.58,3.01,26.76,3.76,1.53,54.79,4.48,31.71,6.9,39.2,72,4.56
85,8.72,2.63,38.68,3.89,1.54,47.56,4.51,30.87,7.05,41.76,96,4.44
86,9.79,3.97,7.7,2.71,0.95,93.73,4.57,74.54,6.05,8.17,5,4.44
87,9.05,2.78,24.28,3.33,1.23,75.42,4.5,82.07,5.77,34.02,27,4.60
88,9.45,3.32,9.45,3.18,1.15,82.83,4.51,61.39,5.87,12.13,21,4.54
89,9.49,3.64,11.5,3.22,1.25,80.48,4.53,56.18,6.21,21.54,22,4.60
90,9.44,3.22,12.64,2.89,1.08,85.59,4.55,49.5,6.15,22,9,4.60
91,8.54,2.92,25.8,3.18,1.18,81.26,4.55,82.87,6.48,25.13,19,4.51
92,9.19,2.82,22.77,3.61,1.34,65.7,4.46,32.18,6.35,35.92,56,4.60
93,6.36,2.86,23.4,3.91,1.55,45.54,4.3,24.12,6.17,36.26,103,4.46
94,7.11,3.18,17.15,3.78,1.55,76.13,4.53,21.94,6.78,14.91,75,4.50
95,6.32,2.86,32.09,3.93,1.66,55.58,4.51,25.79,7.62,34.05,104,4.60
96,7.26,4.45,10.69,3.50,1.39,77.21,4.51,79.53,6.3,27.39,41,4.58
97,6.24,3.06,30.95,3.89,1.64,48.25,4.55,44.27,7.14,36.47,99,4.42
98,6.49,3,17.54,3.83,1.56,54.33,4.44,35.16,6.69,19.17,81,4.41
99,10.63,4.57,5.82,3.09,0.99,88.6,4.57,78.47,5.15,9.61,14,4.49
100,6.33,2.8,36.24,3.95,1.62,48.95,4.53,29.74,7.56,37.79,108,4.59
101,6.9,3.34,26.53,3.87,1.59,58.05,4.47,38.02,7.28,25.19,92,4.58
102,6.67,3.78,15.1,3.85,1.62,62.39,4.49,61.49,8.12,19.08,90,4.59
103,5.89,3.09,13.16,3.76,1.51,59.29,4.41,33.27,6.19,37.11,71,4.61
104,6.29,3.31,32.3,3.76,1.34,55.33,4.48,30.45,5.92,32.67,70,4.26
105,6.69,2.88,27.47,3.83,1.63,60.03,4.44,23,7.02,26.08,86,4.61
106,6.37,2.8,27.3,3.95,1.66,49.38,4.51,43.62,8.13,34.88,109,4.43
107,6.8,3.38,27.87,3.78,1.51,65.17,4.52,45.65,6.7,33.65,74,4.59
108,6.8,3.43,22.2,3.81,1.5,58.35,4.5,32.31,6.47,35.75,77,4.57
109,6.74,3.13,37.29,3.93,1.65,58,4.47,41.38,7.52,37.54,105,4.60
110,6.46,2.63,9.99,3.85,1.47,42.8,4.2,29.97,5.17,24.89,89,4.00
111,6.7,3.84,23.45,3.76,1.53,61.16,4.53,59.5,7.21,25.48,69,4.60
112,5.57,3.34,14.99,3.85,1.62,55.24,4.41,61.78,6.67,35.64,91,4.61
113,5.62,2.93,18.22,3.89,1.57,48.14,4.38,46.93,6.52,34.18,97,4.59
114,5.09,1.79,10.57,3.81,1.19,54.19,4.37,35.77,6.02,20.6,78,3.19
115,6.55,2.63,9.99,3.85,1.47,42.8,4.2,29.97,5.17,24.89,87,4.00
116,5.6,2.84,22.86,3.85,1.35,48.77,4.36,24.57,6.17,26.3,88,4.14
